taxonomy_id	name	rank	ZAF.39_ERR1713409_db6.diamond	ZMB.49b_ERR1713411_db6.diamond	ZMB.49_ERR1713410_db6.diamond	XK.60_ERR1713408_db6.diamond	VNM.48_ERR1713407_db6.diamond
1324796	Pseudoluteimonas lycopersici	species	1241	4028	2862	230	529
1386	Bacillus	genus	1125	525	1356	2218	363
3413767	Streptococcus sp. VTCC 12886	species	215	3	390	56	7
75385	Micropruina glycogenica	species	3913	1177	2303	1751	480
335929	Erythrobacteraceae	family	2932	3559	2960	6436	3506
72763	Tessaracoccus	genus	4570	590	2654	4390	347
1907311	Janthinobacterium sp. TND4EL3	species	16	17	17	70	32
279	Xanthobacter	genus	1099	424	807	296	240
2173	Methanobrevibacter smithii	species	5558	1945	4184	6034	132
2910984	Solidesulfovibrio	genus	1995	16631	7845	1385	2090
1871050	Bosea sp. (in: a-proteobacteria)	species	960	330	663	1024	398
3036128	Diaphorobacter limosus	species	2474	2407	5301	2630	708
3041766	Tessaracoccus lacteus	species	87	14	96	51	5
1030	Thiothrix	genus	3605	33523	4236	793	27725
826	Sebaldella termitidis	species	23238	13273	28001	20139	781
871664	Blautia stercoris	species	2952	492	1555	1026	10
3025755	Thomasclavelia	genus	3650	1251	3015	2539	82
323620	Shinella	genus	3679	525	1455	4182	238
1920749	Candidatus Mancarchaeum acidiphilum	species	4	6	1	2	1
2767188	Amniculibacterium sp. G2-70	species	136	96	226	111	286
1578200	Luteimonas notoginsengisoli	species	13	15	22	17	19
2854170	Roseobacteraceae	family	359	257	507	926	435
1914338	Terrimonas sp.	species	98	165	146	199	39
857252	Halopseudomonas aestusnigri	species	9	15	11	8	108
3022126	Polynucleobacter sp. TUM22923	species	21	15	15	5	2
3157037	Streptomyces sp. NPDC005349	species	54	9	39	53	11
165179	Segatella copri	species	16926	32584	65936	98738	1006
3041175	Brooklawnia propionicigenes	species	1215	1169	45398	1286	761
1623490	uncultured Gemmiger sp.	species	1948	1600	2409	1842	61
40841	Succiniclasticum ruminis	species	105	103	158	45	70
2704656	unclassified Bulleidia	no rank	6273	2275	4422	1956	32
2763016	Anaerofilum hominis	species	323	415	1016	999	422
1490484	Mycobacterium sp. ST-F2	species	35	42	18	5	19
2633022	unclassified Leptotrichia	no rank	7642	2429	2744	3601	105
40520	Blautia obeum	species	2529	2083	2199	1864	51
70347	Acinetobacter higginsii	species	65	7	26	201	162
2974253	Segatella sp.	species	6438	7278	12537	9979	224
84111	Eggerthella	genus	1216	1180	672	281	52
713588	Kaistella chaponensis	species	1310	1033	1052	4744	4506
1715060	Pseudomonas sp. HMSC057H01	species	4	0	2	6	3
1506	Clostridium sp.	species	3874	2372	3999	3984	293
286140	uncultured Megamonas sp.	species	729	710	959	579	50
28128	Prevotella corporis	species	1958	1145	824	859	57
3408580	Anoxybacterium hadale	species	682	525	860	268	48
1288392	Moraxella porci	species	317	33	289	9	28
31979	Clostridiaceae	family	1680	1754	2877	5986	273
1852363	Beduinella massiliensis	species	3797	2541	6044	5569	192
2957809	Sebaldella sp. S0638	species	7507	2234	3851	5452	144
1121358	Corynebacterium doosanense	species	4	3	9	10	2
75309	Rhodanobacter	genus	127	205	284	126	545
70586	Aquabacterium commune	species	252	179	554	314	63
547	Enterobacter	genus	5655	4467	3419	1056	49996
174038	Luteococcus sanguinis	species	41	20	19	509	13
84566	Sphingobacteriaceae	family	1102	963	1407	3273	4947
642	Aeromonas	genus	10460	102502	94842	49392	2335608
2773933	Evtepia sp.	species	464	486	1072	1831	35
2787626	Chryseobacterium sp. RR2-3-20	species	1508	506	431	143	639
841	Roseburia	genus	7280	5765	12998	93421	490
227138	Tepidibacter formicigenes	species	7	3	6	19	8
1736588	Lysobacter sp. Root690	species	4	8	5	33	10
28251	Ornithobacterium rhinotracheale	species	262	82	45	47	95
745368	Gemmiger formicilis	species	5837	4751	8367	9335	152
2008794	Zoogloeaceae	family	4242	11019	15655	5148	2192
112902	Propionispora	genus	144	309	285	118	223
472	Acinetobacter sp.	species	2210	3703	4287	12938	12752
487	Neisseria meningitidis	species	898	109	240	552	149
51101	Brevibacillus agri	species	346	235	272	432	110
2593683	Ancrocorticia	genus	1422	792	847	505	167
1628158	Mariniphaga sediminis	species	188	617	549	84	120
2292346	Dorea sp. AM58-8	species	66	24	36	72	1
287	Pseudomonas aeruginosa	species	4920	3934	4672	7589	7821
200643	Bacteroidia	class	3724	21875	16007	9414	10639
1971895	Thermomonas sp.	species	3626	5939	5088	4138	9133
68766	Fusobacterium sp.	species	2290	2172	2596	1153	212
61170	Holdemania	genus	793	458	1102	1715	48
1527608	Hydromonas duriensis	species	5775	5851	4957	452	2452
59823	Prevotella sp.	species	949	3583	4550	1472	23
3237239	Streptococcus huangxiaojuni	species	108	1	7	2	1
84030	Lacrimispora saccharolytica	species	246	197	325	417	76
